date,symbol,market_name,open_interest,comm_long,comm_short,comm_net,cot_index_26w,cot_index_52w,zero_line,bias
2020-01-07,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,567613,404426,415691,-11265,,,sell,neutral
2020-01-07,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,42058,20084,22554,-2470,,,sell,neutral
2020-01-07,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,49078,19274,31190,-11916,,,sell,neutral
2020-01-14,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,568311,406022,423618,-17596,0.0,0.0,sell,bear
2020-01-14,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,43174,20261,23184,-2923,0.0,0.0,sell,bear
2020-01-14,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,50993,19644,33079,-13435,0.0,0.0,sell,bear
2020-01-21,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,587888,416421,430884,-14463,49.5,49.5,sell,neutral
2020-01-21,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,43385,20950,21622,-672,100.0,100.0,sell,bull
2020-01-21,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,51888,18312,34577,-16265,0.0,0.0,sell,bear
2020-01-28,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,583370,413395,426045,-12650,78.1,78.1,sell,neutral
2020-01-28,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,41234,18396,21871,-3475,0.0,0.0,sell,bear
2020-01-28,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,52420,17437,37149,-19712,0.0,0.0,sell,bear
2020-02-04,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,575449,401478,418317,-16839,12.0,12.0,sell,bear
2020-02-04,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,40957,18461,20678,-2217,44.9,44.9,sell,neutral
2020-02-04,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,51291,16903,36222,-19319,5.0,5.0,sell,bear
2020-02-11,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,596376,416705,432255,-15550,32.3,32.3,sell,neutral
2020-02-11,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,41566,18352,19430,-1078,85.5,85.5,sell,bull
2020-02-11,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,51211,18568,33536,-14968,60.9,60.9,sell,neutral
